AB|ALBERTA|2022-11-04T03:01:08.328Z
AK|ALASKA|2022-11-04T03:01:08.328Z
AL|ALABAMA|2022-11-04T03:01:08.328Z
AR|ARKANSAS|2022-11-04T03:01:08.328Z
AS|AMERICAN|2022-11-04T03:01:08.328Z
AZ|ARIZONA|2022-11-04T03:01:08.328Z
BC|BRITISH|2022-11-04T03:01:08.328Z
CA|CALIFORNIA|2022-11-04T03:01:08.328Z
CO|COLORADO|2022-11-04T03:01:08.328Z
CT|CONNECTICUT|2022-11-04T03:01:08.328Z
DC|DISTRICT|2022-11-04T03:01:08.328Z
DE|DELAWARE|2022-11-04T03:01:08.328Z
FL|FLORIDA|2022-11-04T03:01:08.328Z
FM|MICRONESIA|2022-11-04T03:01:08.328Z
GA|GEORGIA|2022-11-04T03:01:08.328Z
GU|GUAM|2022-11-04T03:01:08.328Z
HI|HAWAII|2022-11-04T03:01:08.328Z
IA|IOWA|2022-11-04T03:01:08.328Z
ID|IDAHO|2022-11-04T03:01:08.328Z
IL|ILLINOIS|2022-11-04T03:01:08.328Z
IN|INDIANA|2022-11-04T03:01:08.328Z
KS|KANSAS|2022-11-04T03:01:08.328Z
KY|KENTUCKY|2022-11-04T03:01:08.328Z
LA|LOUISIANA|2022-11-04T03:01:08.328Z
MA|MASSACHUSETTS|2022-11-04T03:01:08.328Z
MB|MANITOBA|2022-11-04T03:01:08.328Z
MD|MARYLAND|2022-11-04T03:01:08.328Z
ME|MAINE|2022-11-04T03:01:08.328Z
MH|MARSHALL|2022-11-04T03:01:08.328Z
MI|MICHIGAN|2022-11-04T03:01:08.328Z
MN|MINNESOTA|2022-11-04T03:01:08.328Z
MO|MISSOURI|2022-11-04T03:01:08.328Z
MP|NORTHERN|2022-11-04T03:01:08.328Z
MS|MISSISSIPPI|2022-11-04T03:01:08.328Z
MT|MONTANA|2022-11-04T03:01:08.328Z
NB|NEW|2022-11-04T03:01:08.328Z
NC|NORTH|2022-11-04T03:01:08.328Z
ND|NORTH|2022-11-04T03:01:08.328Z
NE|NEBRASKA|2022-11-04T03:01:08.328Z
NH|NEW|2022-11-04T03:01:08.328Z
NJ|NEW|2022-11-04T03:01:08.328Z
NL|NEWFOUNDLAND|2022-11-04T03:01:08.328Z
NM|NEW|2022-11-04T03:01:08.328Z
NS|NOVA|2022-11-04T03:01:08.328Z
NT|NORTHWEST|2022-11-04T03:01:08.328Z
NU|NUNAVUT|2022-11-04T03:01:08.328Z
NV|NEVADA|2022-11-04T03:01:08.328Z
NY|NEW|2022-11-04T03:01:08.328Z
OH|OHIO|2022-11-04T03:01:08.328Z
OK|OKLAHOMA|2022-11-04T03:01:08.328Z
ON|ONTARIO|2022-11-04T03:01:08.328Z
OR|OREGON|2022-11-04T03:01:08.328Z
PA|PENNSYLVANIA|2022-11-04T03:01:08.328Z
PE|PRINCE|2022-11-04T03:01:08.328Z
PI|PACIFIC|2022-11-04T03:01:08.328Z
PR|PUERTO|2022-11-04T03:01:08.328Z
PW|PALAU|2022-11-04T03:01:08.328Z
QC|QUEBEC|2022-11-04T03:01:08.328Z
RI|RHODE|2022-11-04T03:01:08.328Z
SC|SOUTH|2022-11-04T03:01:08.328Z
SD|SOUTH|2022-11-04T03:01:08.328Z
SK|SASKATCHEWAN|2022-11-04T03:01:08.328Z
TN|TENNESSEE|2022-11-04T03:01:08.328Z
TX|TEXAS|2022-11-04T03:01:08.328Z
UM|U.S.|2022-11-04T03:01:08.328Z
UT|UTAH|2022-11-04T03:01:08.328Z
VA|VIRGINIA|2022-11-04T03:01:08.328Z
VI|VIRGIN|2022-11-04T03:01:08.328Z
VT|VERMONT|2022-11-04T03:01:08.328Z
WA|WASHINGTON|2022-11-04T03:01:08.328Z
WI|WISCONSIN|2022-11-04T03:01:08.328Z
WV|WEST|2022-11-04T03:01:08.328Z
WY|WYOMING|2022-11-04T03:01:08.328Z
YT|YUKON|2022-11-04T03:01:08.328Z
